Nhom,Hang muc,Trang thai,Gia tri,Ghi chu
1. DIEM SO,Challenge 1 - Collision Risk (TTC),XONG,65.60,Baseline BTC 19.70. LOTO trung thuc 65.23
1. DIEM SO,Challenge 2 - Driver Intelligence,XONG,92.60,In-sample. LOTO trung thuc 84.50
1. DIEM SO,Challenge 3 - Fleet Safe Driving Score,XONG,100.0,Vo nghia cuc bo: 6 trip Practice deu co safe_score=0 (kep tran)
1. DIEM SO,Cham boi,-,team_kit/evaluation.py,"Evaluator chinh thuc cua BTC, khong phai metric tu che"
2. C1 THEO TRIP,T04-Sample,XONG,86.8,MAE-critical 0.435s
2. C1 THEO TRIP,T03-Sample,XONG,84.9,MAE-critical 0.241s
2. C1 THEO TRIP,T06-Sample,XONG,76.5,MAE-critical 0.533s
2. C1 THEO TRIP,T01-Sample,XONG,63.7,MAE-critical 1.23s
2. C1 THEO TRIP,T02-Sample,XONG,41.6,MAE-critical 46.683s
2. C1 THEO TRIP,T05-Sample,XONG,40.0,MAE-critical 14.69s
3. C2 THEO TRIP,T03-Sample,XONG,100.0,Accuracy 1.0
3. C2 THEO TRIP,T05-Sample,XONG,100.0,Accuracy 1.0
3. C2 THEO TRIP,T02-Sample,XONG,97.9,Accuracy 0.972
3. C2 THEO TRIP,T01-Sample,XONG,93.5,Accuracy 0.925
3. C2 THEO TRIP,T06-Sample,XONG,93.0,Accuracy 0.93
3. C2 THEO TRIP,T04-Sample,XONG,71.4,Accuracy 0.687
4. FILE NOP BAI,T01d.csv,HOP LE,1800 dong,hazard 531 | near-miss 97 | state troi: drowsy
4. FILE NOP BAI,T02d.csv,HOP LE,1800 dong,hazard 487 | near-miss 52 | state troi: yawning
4. FILE NOP BAI,T03d.csv,HOP LE,1800 dong,hazard 395 | near-miss 67 | state troi: drowsy
4. FILE NOP BAI,T04d.csv,HOP LE,1800 dong,hazard 187 | near-miss 54 | state troi: drowsy
4. FILE NOP BAI,T05d.csv,HOP LE,1800 dong,hazard 232 | near-miss 64 | state troi: drowsy
4. FILE NOP BAI,T06d.csv,HOP LE,1800 dong,hazard 324 | near-miss 69 | state troi: drowsy
